nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0002719,Vincent Lascoumes,1959,\N,assistant_director actor,tt5433140 tt3501632 tt1840309 tt1634106
nm0002720,Andrew Lowes,1975,\N,director writer sound_department,tt0213537 tt0262544 tt0208678 tt0309510
nm0002721,Kieron Phipps,\N,\N,assistant_director production_manager actor,tt0404030 tt0112573 tt9731386 tt0203119
nm0002722,Barry Potter,1978,\N,director writer editor,tt0413324 tt2088800 tt0212908 tt0399282
nm0002723,Renny Rye,1947,\N,producer director miscellaneous,tt0107423 tt0205641 tt0094525 tt0086675
nm0002724,Herbert Wright,1947,2005,producer miscellaneous writer,tt0106144 tt0083198 tt0092455 tt0094578
nm0002725,Eric Yellin,1966,2022,assistant_director miscellaneous actor,tt12611178 tt0489099 tt0411951 tt0356618
nm0002726,Roger Young,1942,\N,director producer writer,tt0075528 tt0094021 tt0087589 tt0100209
nm0002727,Ludwig van Beethoven,1770,1827,soundtrack music_department composer,tt1535108 tt0448011 tt0120844 tt1386703
nm0002728,Juan José Campanella,1959,\N,writer director actor,tt1994702 tt1305806 tt8453986 tt0210843
nm0002729,Matthew J. Clark,\N,2020,assistant_director location_management editor,tt0089686 tt2017109 tt0111151 tt0119215
nm0002730,Fiona Winning,\N,\N,assistant_director production_manager location_management,tt0376994 tt0831387 tt0290334 tt0338337
nm0002731,Kenna Doeringer,\N,\N,sound_department editor editorial_department,tt0120679 tt0368008 tt0117765 tt0352248
nm0002732,Taz Goldstein,\N,\N,miscellaneous producer writer,tt4740684 tt1977038 tt2014351 tt0210633
nm0002733,Marc Grossman,\N,\N,editor editorial_department camera_department,tt0398571 tt0100934 tt5453522 tt0110392
nm0002734,Catherine Ircha,\N,\N,art_director art_department,tt1190080 tt10676012 tt1325004 tt1535108
nm0002735,Robert J. Lyons,\N,\N,producer cinematographer director,tt6087056 tt2158640 tt3130286 tt5599520
nm0002736,D.A. Metrov,\N,\N,writer producer director,tt1991186 tt0091981 tt2434766 tt0079082
nm0002737,Tomaz Sarc,1967,\N,actor director,tt0210463 tt0064091
nm0002738,Cliff Lanning,1965,\N,assistant_director producer miscellaneous,tt4630562 tt1860357 tt0373889 tt0372784
nm0002739,Daniel Geller,\N,\N,producer director cinematographer,tt0436095 tt2960450 tt0107314 tt0109851
nm0002740,Ben Eberhard,1975,\N,actor producer,tt0112111 tt0207826 tt0138956 tt0115317
nm0002741,Oliver Block,1977,\N,actor,tt0093818 tt0094737 tt0099077
nm0002742,Marc Meisels,1965,\N,art_department special_effects miscellaneous,tt1189340 tt0119177 tt1615065 tt7737528
nm0002743,Daniel McVicar,1958,\N,actor producer director,tt0111093 tt0849423 tt0092325 tt0088587
nm0002744,Chris Baugh,\N,\N,location_management production_manager director,tt2080374 tt6450804 tt0808151 tt1024648
nm0002745,Rolf Coulanges,1945,\N,cinematographer director editor,tt0180794 tt0180957 tt0181159 tt0180969
nm0002746,Terra Abroms,\N,\N,production_manager editorial_department producer,tt1600195 tt0132347 tt0430105 tt0264395
nm0002747,Mark Sanger,1974,\N,editor editorial_department visual_effects,tt8041270 tt1454468 tt4651466 tt3371366
nm0002748,Lisa L. Pollaro,\N,\N,visual_effects,tt0185183 tt0216216 tt0118571 tt0120844
nm0002749,Michael Nankin,1955,\N,producer director writer,tt11525188 tt14586544 tt0407362 tt3673480
nm0002750,Robert Cousins,\N,\N,production_designer writer miscellaneous,tt0462023 tt1111876 tt0137180 tt0424880
nm0002751,Francisco Rojo Villada,1958,\N,production_manager transportation_department actor,tt2515034 tt0947810 tt0758774 tt0440963
nm0002752,Tim Clague,1973,\N,camera_department director producer,tt8344316 tt1536519 tt3800520 tt9047024
nm0002753,Elvira Bolz,\N,\N,producer production_manager writer,tt0432432 tt0111416 tt0118646 tt0907694
nm0002754,Steven Tyler Sahlein,\N,\N,production_manager producer miscellaneous,tt5420210 tt6833470 tt2327601 tt30516055
nm0002755,Nellie Adami,\N,\N,miscellaneous assistant_director,tt0115759 tt0378109 tt0118928 tt0479884
nm0002756,Cal Johnson,\N,\N,stunts actor assistant_director,tt5095030 tt4073790 tt3890160 tt7638348
nm0002757,Kami Turrou,1967,\N,miscellaneous,tt0105986 tt0102005 tt0213997 tt0103074
nm0002758,Jean-Claude Schlim,1963,\N,producer production_manager location_management,tt0118604 tt0189998 tt0379889 tt0405022
nm0002759,Ernesto Gastaldi,1934,\N,writer director assistant_director,tt0070215 tt0062806 tt0061906 tt0087261
nm0002760,Derek Bruyere,\N,\N,camera_department miscellaneous,tt0120891 tt0146984 tt0119215 tt0120812
nm0002761,Tov Belling,\N,\N,camera_department miscellaneous assistant_director,tt0325710 tt0117786 tt0121766 tt0458525
nm0002762,Travis Baumann,1972,\N,visual_effects,tt0181689 tt1517260 tt0190332 tt0133152
nm0002763,James S. Fowler,1971,\N,assistant_director director cinematographer,tt0207347 tt0207569 tt0213849 tt0262985
nm0002764,Tina Pehme,\N,\N,producer miscellaneous production_manager,tt6054710 tt0213985 tt1014774 tt5734214
nm0002765,Alan Williams,\N,\N,composer music_department soundtrack,tt13194200 tt0146063 tt19863432 tt0140803
nm0002766,Larry Lalonde,\N,\N,producer writer miscellaneous,tt1091909 tt0159797 tt5797772 tt0118359
nm0002767,Larry Lalonde,\N,\N,music_department soundtrack actor,tt0339851 tt1701990 tt1007028 tt0101452
nm0002768,Blanche Friderici,1878,1933,actress soundtrack,tt0025316 tt0020748 tt0019344 tt0024539
nm0002769,Romy Schneider,1938,1982,actress soundtrack,tt0081182 tt0048624 tt0050974 tt0073155
nm0002770,John Hughes,1882,1954,art_director miscellaneous art_department,tt0036582 tt0040897 tt0044121 tt0034167
nm0002771,Edward J. Montagne,1885,1932,writer script_department miscellaneous,tt0008730 tt0014424 tt0013105 tt0166997
nm0002772,Jay Jennings,1965,\N,producer director writer,tt0914842 tt0213061 tt0851215 tt1861344
nm0002773,Norma Maldonado,1962,\N,actress,tt3566726 tt2262532 tt6470478 tt0903747
nm0002774,Ken Lauber,\N,\N,music_department composer soundtrack,tt1450321 tt0060347 tt0080116 tt0079278
nm0002775,Brendan Kailer Lieb,1967,\N,actor,tt0119672 tt0114910 tt0195108
nm0002776,Johnny Hallyday,1943,2017,music_artist actor soundtrack,tt3488710 tt0301414 tt0838232 tt3922798
nm0002777,Larry Mendte,1957,\N,director actor producer,tt0167515 tt0119942 tt2102736 tt1475226
nm0002779,Jennifer O'Neil,\N,\N,miscellaneous casting_department,tt0202752 tt0106069 tt0115710 tt0131325
nm0002780,Jennifer O'Neil,\N,\N,miscellaneous,tt0119318 tt0112160
nm0002781,Jessica Wilson,\N,\N,script_department miscellaneous assistant_director,tt0120875 tt0254320 tt0120878 tt0118730
nm0002782,Jessica Looney,1974,\N,actress location_management script_department,tt0368530 tt0285341 tt0093780 tt20879464
nm0002783,Alain Olivieri,1960,\N,assistant_director production_manager miscellaneous,tt1602620 tt0290594 tt0091288 tt0387898
nm0002784,Frank Simeone,\N,\N,production_manager producer assistant_director,tt0096332 tt0078788 tt0364961 tt0329774
nm0002785,Henri Aubertin,\N,\N,costume_department costume_designer,tt5834426 tt1877832 tt6565702 tt3385516
nm0002786,Mia Korf,\N,\N,actress,tt0062595 tt0285336 tt0108724 tt0118431
nm0002787,Steve Cohen,1964,2012,writer producer,tt0282695 tt0433309 tt0120596
nm0002788,Matthew M. Meyer,\N,\N,sound_department music_department miscellaneous,tt1244588 tt0151022 tt0174543 tt0210000
nm0002789,Matt Mayer,\N,\N,editor editorial_department visual_effects,tt0180093 tt3532216 tt0414993 tt0327162
nm0002790,Mark Hager,\N,\N,miscellaneous actor producer,tt0234215 tt0119174 tt0330793 tt0286716
nm0002791,Craig Dabrowski,1974,\N,editorial_department producer actor,tt0393567 tt0413573 tt0155197 tt1362264
nm0002792,Doug Hobart,1927,\N,actor make_up_department special_effects,tt0071654 tt0065727 tt0063554 tt0062481
nm0002793,Antony Thomas,1940,\N,director writer producer,tt0096154 tt0277667 tt0447686 tt0388574
nm0002794,Archie Hankins,1962,\N,art_department miscellaneous,tt0110443 tt0115956 tt0266697 tt0378194
nm0002795,Karen Rea,\N,\N,casting_department casting_director,tt0087332 tt0088011 tt0316654 tt0104231
nm0002796,Ofer Inov,\N,\N,cinematographer camera_department director,tt0268696 tt0374036 tt0758732 tt3757218
nm0002797,Ricardo Franco,1949,1998,director writer actor,tt0118788 tt0073518 tt0094729 tt0176912
nm0002798,R. Scott Loughran,1964,\N,art_department assistant_director miscellaneous,tt0281398 tt0212815 tt0273982 tt0183280
nm0002799,Laurie Murdoch,1958,\N,actor,tt0106179 tt1442065 tt5639976 tt1895587
nm0002800,Scott Levy,1971,\N,actor producer sound_department,tt1323595 tt0119567 tt0120338 tt0401462
nm0002801,Ashley Edner,1990,\N,actress miscellaneous,tt2660888 tt0315983 tt0299591 tt0411007
nm0002802,Nicolas Lartigue,\N,\N,camera_department actor editor,tt0118685 tt0473753 tt0344854 tt0492498
nm0002803,Michael Klastorin,1957,\N,miscellaneous actor writer,tt0117318 tt0253754 tt0102070 tt0099088
nm0002804,Joyce Marie Brusasco,\N,\N,producer assistant_director,tt0127024 tt0218678 tt0168035 tt0214604
nm0002805,Mark DeSousa,\N,\N,visual_effects producer,tt0120461 tt1825683 tt7605074 tt0120844
nm0002806,Bart Schroeven,1975,\N,producer,tt0444425
nm0002807,Ogi Ogas,\N,\N,director writer editor,tt0214610 tt0485072 tt0214631 tt0211180
nm0002808,Andrea Maxwell,\N,\N,visual_effects editor director,tt3480822 tt6320628 tt1825683 tt9114286
nm0002809,Brian Capener,\N,\N,cinematographer writer camera_department,tt0120321 tt0118205 tt0107183 tt0452829
nm0002810,Bobby Edner,1988,\N,actor miscellaneous soundtrack,tt0104652 tt0388944 tt0338459 tt0313911
nm0002811,Jeremy Knaster,\N,\N,camera_department actor art_department,tt0368008 tt0133952 tt0115956 tt2937898
nm0002812,Rick Nathanson,\N,\N,producer production_manager miscellaneous,tt0105156 tt2652118 tt0425637 tt0106770
nm0002813,Amanda White,\N,\N,producer miscellaneous executive,tt0119217 tt0184858 tt0206314 tt1356864
nm0002814,Christopher Leone,\N,\N,director writer visual_effects,tt0830361 tt3479316
nm0002815,Pedro Lazaga,1918,1979,director writer assistant_director,tt0059611 tt0061470 tt0047335 tt0043789
nm0002816,Miguel Ligero,1890,1968,actor writer soundtrack,tt0025942 tt0029897 tt0047206 tt0057641
nm0002817,Soledad Miranda,1943,1970,actress,tt0218181 tt0067846 tt0066380 tt0055577
nm0002818,Kristoffer Sjöström,1955,\N,art_department production_designer,tt0837106 tt6304046 tt0203166 tt1440728
nm0002819,Jeffrey R. Gund,\N,\N,casting_department music_department sound_department,tt0215934 tt4843648 tt1694423 tt0081857
nm0002820,Thomas Carnegie,\N,\N,art_department production_designer art_director,tt0120903 tt0142192 tt0299658 tt0251160
nm0002821,R. Orlando Duenas,1960,\N,editorial_department editor visual_effects,tt0458290 tt0338348 tt11084896 tt0118884
nm0002822,Mark Hosack,1975,\N,producer writer editor,tt0230540 tt0343818 tt0493165 tt8964206
nm0002823,J.P. Luijsterburg,1967,\N,editor composer editorial_department,tt4337194 tt0118588 tt1846526 tt0117142
nm0002824,Molly Mikula,\N,\N,art_department art_director,tt0453467 tt1133985 tt1853728 tt0421715
nm0002825,Robert Morris,\N,\N,production_designer,tt0222375 tt0185400 tt0146516 tt0119330
nm0002826,Sally Plum,\N,\N,costume_designer costume_department,tt0401995 tt0368249 tt0187623 tt0111902
nm0002827,Michael Reynolds,\N,\N,editorial_department,tt0172495 tt0112715 tt0265086 tt0117765
nm0002828,Mark Sanders,\N,\N,editorial_department editor sound_department,tt1217560 tt1617110 tt0377713 tt1206304
nm0002829,Chris Seagers,\N,\N,production_designer art_director art_department,tt0453467 tt6654210 tt0120815 tt2316204
nm0002830,Ricardo Spinacé,\N,\N,production_designer art_department art_director,tt0429493 tt0190374 tt0216216 tt0139414
nm0002831,John 'J.T.' Tully,\N,\N,actor camera_department miscellaneous,tt1669268 tt0445922 tt0773297 tt0879836
nm0002832,Alejandro Valadez,\N,\N,composer director writer,tt0214127 tt0122419 tt0134172
nm0002833,David Webb,\N,\N,assistant_director producer actor,tt1462764 tt1024648 tt7286456 tt1302006
nm0002834,Brandon L. Wilson,1972,\N,producer editor director,tt0312113 tt4063096 tt0398571 tt0914829
nm0002835,Adam Bernstein,1960,\N,director producer writer,tt0127288 tt0496424 tt0903747 tt2802850
nm0002836,Annie Bradley,\N,\N,director assistant_director producer,tt7772602 tt15566744 tt21105638 tt5834204
nm0002837,Stefan Brönneke,1964,\N,director actor writer,tt0819958 tt0489298 tt0463847 tt0213782
nm0002838,Jaro Dick,\N,\N,set_decorator art_department actor,tt0119217 tt1898069 tt2243973 tt3007572
nm0002839,Michael J. Ferrari,\N,\N,editorial_department editor assistant_director,tt0106913 tt0195393 tt0108540 tt0142224
nm0002840,Reuben Gonzalez,\N,\N,writer actor director,tt1935277 tt0363269 tt0128414 tt0199744
nm0002841,Jamie Kirkpatrick,\N,\N,editor editorial_department director,tt8058874 tt7870102 tt12731980 tt2291540
nm0002842,Caitlin Blue,\N,\N,set_decorator art_department production_designer,tt0114170 tt0120051 tt0115736 tt0116361
nm0002843,Steve Rosenzweig,\N,\N,production_designer art_department,tt1135487 tt1385826 tt0440963 tt1176740
nm0002844,Donna Wheeler,\N,\N,editorial_department producer director,tt2338159 tt9144872 tt2338357 tt0204250
nm0002845,Amy Segal,\N,\N,production_manager producer assistant_director,tt0113189 tt0166485 tt0137494 tt0107183
nm0002846,Josh Skye,1976,\N,miscellaneous assistant_director art_department,tt0120657 tt0150377 tt0184858 tt0338337
nm0002847,Sean-Michael Smith,1972,\N,cinematographer camera_department producer,tt0486822 tt0168629 tt0361620 tt0329774
nm0002848,Stephan Brenninkmeijer,1964,\N,director editor producer,tt14225952 tt0228901 tt7381366 tt11967628
nm0002849,Linda Vipond,\N,\N,set_decorator art_department,tt0088024 tt0097388 tt0304669 tt1132285
nm0002850,Rick Giovinazzo,\N,\N,music_department composer actor,tt1877832 tt0399201 tt1440129 tt3778644
nm0002851,Ricardo Olivero,\N,\N,editorial_department,tt0227984 tt0120907 tt0113481 tt0399146
nm0002852,Bernhard Lebourne,\N,\N,editor miscellaneous producer,tt5227746 tt3487654 tt4230078 tt5327922
nm0002853,Chris Petts,\N,\N,visual_effects actor,tt4154796 tt0120738 tt0149261 tt4154756
nm0002854,Jens Schlosser,1954,\N,cinematographer camera_department,tt2720680 tt0167137 tt0208911 tt1135922
nm0002855,Neil Delama,\N,\N,actor stunts,tt0218126 tt0139151 tt0306699 tt1593774
nm0002856,Ken Tipton,1952,\N,actor producer director,tt0111653 tt0415838 tt3431592 tt0211638
nm0002857,Michael Kearns,1950,\N,actor writer producer,tt0371008 tt0086984 tt15432574 tt0100705
nm0002858,David McGiffert,\N,\N,assistant_director producer production_manager,tt0259711 tt0090329 tt0095953 tt0088763
nm0002859,Ned Kopp,1935,2020,production_manager assistant_director producer,tt0090264 tt0097742 tt0232500 tt0066434
nm0002860,Yves Agostini,\N,\N,camera_department cinematographer,tt0416496 tt0310203 tt0119038 tt0280665
nm0002861,William T. Orr,1917,2002,producer actor writer,tt0033725 tt0047786 tt0052472 tt0051247
nm0002862,Ernst Winar,1894,1978,actor director editor,tt0332186 tt0435695 tt0026826 tt4695466
nm0002863,Ken Ziegler,\N,\N,visual_effects miscellaneous,tt0121765 tt0120915 tt0114508 tt0163025
nm0002864,Michael Markowitz,1961,\N,producer writer miscellaneous,tt0366034 tt1499658 tt0174378 tt0108755
nm0002866,Christopher Covert,\N,\N,music_department producer,tt0247745 tt0331953 tt0144084 tt0261983
nm0002867,Ann Curtis,\N,\N,costume_designer costume_department,tt0063297 tt0084889 tt0175447 tt0279887
nm0002868,Annie Curtis-Jones,\N,\N,costume_designer costume_department art_department,tt0088807 tt0083773 tt0094819 tt0097861
nm0002869,Mario Gallo,1923,1984,actor,tt0086192 tt0074751 tt0081398 tt0072417
nm0002870,Pierre Courrège,\N,\N,writer director production_manager,tt0115897 tt0308480 tt3855752 tt0328820
nm0002871,Beatrice Ring,1965,\N,actress director writer,tt11546920 tt0099430 tt0215798 tt6121532
nm0002872,Kelsa Kinsly,\N,\N,actress miscellaneous stunts,tt0119051 tt0135067 tt0115351 tt0115243
nm0002873,Gregory Puchalski,\N,\N,art_department music_department,tt0087781 tt0104427 tt0120655 tt6018306
nm0002874,Jennifer Giles,\N,\N,producer production_manager actress,tt0215478 tt0208204 tt0216394 tt0176118
nm0002875,Freddie Young,1902,1998,cinematographer camera_department director,tt0056172 tt0059113 tt0062512 tt0066319
nm0002876,Cathie Filian,\N,\N,producer actress writer,tt0117998 tt0119925 tt0259711 tt0128445
nm0002877,José Retra,\N,\N,composer actress music_department,tt0140789 tt0288916 tt0340214 tt0126906
nm0002878,Ric Sarabia,1959,\N,actor,tt2361317 tt7668870 tt3986820 tt0824747
nm0002879,Astrid Sieben,\N,\N,art_director art_department production_designer,tt0190374 tt7991608 tt10272386 tt1894476
nm0002880,Lisa Freiberger,\N,\N,casting_department casting_director,tt0083530 tt0082085 tt0083944 tt0085970
nm0002881,Eric Aubin,1971,\N,camera_department miscellaneous cinematographer,tt6565702 tt1877832 tt3385516 tt0319262
nm0002882,Charles Libin,\N,\N,camera_department cinematographer director,tt9222438 tt6144092 tt7861644 tt3180668
nm0002883,Brad Arensman,\N,\N,production_manager editorial_department producer,tt2209764 tt1037705 tt1856101 tt3397884
nm0002884,Andrea V. Rossotto,\N,\N,cinematographer camera_department,tt0416775 tt0248742 tt1502404 tt0119985
nm0002885,François Audouy,\N,\N,production_designer art_department art_director,tt3315342 tt1950186
nm0002886,Robert J. Walsh,1947,2018,composer music_department soundtrack,tt2955402 tt2717822 tt0257756 tt0144117
nm0002887,Alan Myerson,1936,\N,director actor writer,tt0095882 tt0083437 tt0064962 tt0103466
nm0002888,Stephen Blackehart,\N,\N,actor sound_department miscellaneous,tt2015381 tt6791350 tt3896198 tt0439815
nm0002889,Michael Albanese,\N,\N,miscellaneous actor writer,tt0099460 tt1621429 tt0103064
nm0002890,Walter Halsey Davis,1942,2019,writer producer,tt0089032 tt0108134 tt0085747 tt0096072
nm0002891,Lawrence Jones,\N,\N,cinematographer camera_department,tt0328799 tt0098765 tt0207275 tt0086661
nm0002892,Wally Pfister,1961,\N,cinematographer camera_department director,tt0468569 tt1375666 tt0482571 tt1345836
nm0002893,Linda Shayne,\N,\N,actress writer director,tt13404242 tt12866980 tt8394708 tt29474792
nm0002894,Anthony Gasparro,\N,\N,production_designer art_director art_department,tt9231040 tt4468634 tt0455538 tt0119237
nm0002895,Mohammed Sharafi,1976,\N,actor,tt0120188
nm0002896,Ann E. Todd,1931,2020,actress soundtrack,tt0033729 tt0031491 tt0038038 tt0033405
nm0002897,Ann Todd,1907,1993,actress soundtrack,tt0038924 tt0039694 tt0041735 tt0044446
nm0002898,Burke Moses,1959,\N,actor miscellaneous,tt0200337 tt0386616 tt3288518 tt0065272
nm0002899,Martin Meyer,1956,\N,camera_department cinematographer miscellaneous,tt0086564 tt0447812 tt0192712 tt0084704
nm0002900,Wayne Massarelli,1949,2012,make_up_department,tt0267804 tt0117119 tt0452681 tt0087755
nm0002901,Muse Watson,1948,\N,actor producer soundtrack,tt0119345 tt0364845 tt0455275 tt0114496
nm0002902,Andy Thompson,\N,\N,actor producer writer,tt7826376 tt3691740 tt5511512 tt7608248
nm0002903,David Tucker,\N,\N,director editor producer,tt0099698 tt0108993 tt0090541 tt3003684
nm0002904,Joseph P. Lucky,1954,\N,production_designer art_director art_department,tt0112462 tt0439100 tt6226232 tt0103064
nm0002905,Michael Hertlein,\N,\N,sound_department actor,tt1070874 tt0265086 tt0397535 tt1856101
nm0002906,Richard Sobin,\N,\N,camera_department cinematographer,tt0114814 tt0110632 tt0115857 tt0489664
nm0002907,Alexander Skarsgård,1976,\N,actor producer director,tt0844441 tt3920596 tt0918940 tt7598448
nm0002908,Kelly Granite,1961,\N,visual_effects producer art_department,tt0120685 tt0118884 tt0119116 tt0118928
nm0002909,Rachela Williams,1967,2001,actress writer producer,tt0216926 tt0196768 tt0197104 tt0271649
nm0002910,Gianni Lepre,1947,\N,director writer,tt1812418 tt0211131 tt0224815 tt0307850
nm0002911,Jay Holben,\N,\N,camera_department producer director,tt0773262 tt0216969 tt3910648 tt1841108
nm0002912,Michael K. Bucher,1939,2012,cinematographer camera_department editor,tt0133987 tt0189038 tt0241161 tt0195343
nm0002913,Chris Jaymes,\N,\N,actor producer director,tt7772588 tt7942796 tt0411008 tt0251744
nm0002914,Jarrell Jay Knowles,1945,\N,art_department actor set_decorator,tt0217123 tt2189892
nm0002915,Erwin Hillier,1911,2005,cinematographer camera_department,tt0056886 tt0048433 tt0041511 tt0036310
nm0002916,Ray Brady,1961,\N,director writer producer,tt15062874 tt18360192 tt2363065 tt7123996
nm0002917,William Dodds,1976,\N,assistant_director miscellaneous,tt1661199 tt4575576 tt1361336 tt11068094
nm0002918,Richard Ferrando,\N,\N,composer director writer,tt0337914 tt0819704 tt0357205 tt3243638
nm0002919,Zachary Gamburg,1975,\N,miscellaneous director actor,tt0204076 tt1058042 tt0171580 tt0765725
nm0002920,Mike Hansel,\N,\N,director,tt0150492
nm0002921,Tiffany Hillkurtz,1969,\N,editorial_department editor miscellaneous,tt1911658 tt5113040 tt1621039 tt0375568
nm0002922,Stephen Mark,\N,\N,editor editorial_department writer,tt0120902 tt0348914 tt0079945 tt0204993
nm0002923,Ezekiel Norton,1970,\N,animation_department director visual_effects,tt0814255 tt1190080 tt0108903 tt0765446
nm0002924,Ilja Obretenov,1951,\N,art_department production_designer set_decorator,tt0283559 tt1928116 tt0171577 tt0243213
nm0002925,Isaac Sehayek,\N,\N,editor producer editorial_department,tt10370402 tt0391788 tt0782867 tt2164718
nm0002926,Enrique Chediak,1967,\N,cinematographer camera_department producer,tt1542344 tt1790864 tt2304933 tt0463854
nm0002927,Michael Hofstein,\N,\N,camera_department cinematographer assistant_director,tt0093507 tt0120812 tt2249826 tt5771574
nm0002928,Igor Sunara,1955,\N,cinematographer camera_department director,tt0888050 tt0100817 tt0118887 tt2160181
nm0002929,Mitch Levine,\N,\N,director actor writer,tt0201919 tt7477946 tt8224738 tt12636394
nm0002930,Julie St. Claire,1970,\N,actress director producer,tt0112451 tt0134269 tt0166247 tt0091954
nm0002931,Greg Walker,1945,\N,stunts actor assistant_director,tt0107978 tt0100502 tt0085407 tt0093260
nm0002932,Greg Walker,\N,\N,producer writer miscellaneous,tt1043813 tt0321021 tt0182587 tt0279600
nm0002933,Brian Berkenfeld,\N,\N,talent_agent miscellaneous,tt0114041 tt0113074 tt0120524 tt0112625
nm0002934,Normand Corbeil,1956,2013,composer music_department soundtrack,tt0160009 tt0445946 tt0383782 tt0114367
nm0002935,Moe Howard,1897,1975,actor soundtrack writer,tt0037813 tt0025688 tt0056579 tt0037132
nm0002936,Kristina Anapau,1979,\N,actress producer writer,tt1830617 tt0844441 tt0947798 tt0391891
nm0002937,Adam McCulloch,\N,\N,writer art_department visual_effects,tt0217830 tt0117631 tt0119272 tt0133093
nm0002938,Jane Tattersall,\N,\N,sound_department editorial_department music_department,tt2306299 tt1423894 tt0102511 tt5834204
nm0002939,Mustafa Presheva,1961,\N,editor actor editorial_department,tt6316138 tt0127311 tt0384116 tt7832124
nm0002940,Ghislain Pensa,\N,\N,editorial_department miscellaneous production_manager,tt0809273 tt0271324 tt0103534 tt0101230
nm0002941,Kevin Loader,1956,\N,producer director assistant_director,tt1266029 tt0488604 tt4686844 tt1226774
nm0002942,Verton R. Banks,\N,\N,actor producer,tt7235466 tt7661046 tt2342652 tt13207736
nm0002943,R.H. Davies,\N,\N,miscellaneous,tt0800320 tt0245844 tt0108333 tt1371111
nm0002944,Michael Boisvert,1973,\N,actor stunts,tt5171438 tt0439410 tt0463948 tt1091909
nm0002945,Francesco Marras,1965,\N,production_manager producer location_management,tt2719848 tt0963178 tt1243957 tt1859650
nm0002946,Jeff Kushner,1965,\N,sound_department editor actor,tt0250797 tt0313911 tt0159273 tt0132347
nm0002947,Toby Oliver,\N,\N,cinematographer camera_department producer,tt13314558 tt5052448 tt3797512 tt8064302
nm0002948,Costas Ferris,1935,\N,director writer actor,tt0217745 tt0086182 tt0071513 tt0123053
nm0002949,Frank Schlegel,1962,\N,visual_effects special_effects art_department,tt0811080 tt1186367 tt2278388 tt0434409
nm0002950,Robert J. Burke Jr.,\N,\N,actor writer,tt0350811 tt0217711 tt2249786 tt2842662
nm0002951,Alyce Wittenstein,\N,\N,director writer actress,tt0097992 tt0090715 tt0113868 tt0109590
nm0002952,Rupert Lazarus,\N,\N,production_designer art_department art_director,tt2121286 tt5369352 tt5918982 tt9252156
nm0002953,Judith Vogelsang,\N,\N,assistant_director director producer,tt1326226 tt1015988 tt1462705 tt1358251
nm0002954,Kellie Ann Benz,\N,\N,writer director producer,tt2654712 tt1278300 tt0310516 tt0245055
nm0002955,Joseph Melskens,1960,\N,production_manager camera_department location_management,tt0128023 tt0087741 tt0128325 tt0159603
nm0002956,Barry Gibb,1946,\N,soundtrack actor composer,tt0077631 tt0114857 tt0111503 tt0076666
nm0002957,Nadeem Saifi,\N,\N,composer soundtrack music_department,tt0117437 tt0119861 tt0307873 tt0102825
nm0002958,Stephen Maynard,\N,\N,sound_department,tt0076704
nm0002959,Stephen Maynard,\N,\N,producer miscellaneous,tt0114367 tt0112758 tt0143166 tt0251446
nm0002960,Julio Iglesias,1943,\N,music_artist soundtrack actor,tt0095675 tt0081146 tt1340800 tt0065178
nm0002961,Frances Burroughs,\N,\N,producer miscellaneous production_designer,tt0867482 tt0420098 tt0331207 tt0328558
nm0002962,Alex Corven,1963,2018,producer location_management production_manager,tt1657507 tt0265086 tt0317740 tt0320661
nm0002963,Luc Chalifour,1961,\N,director assistant_director,tt0172057 tt0115326 tt0250750 tt0205737
nm0002964,John Covert,\N,\N,producer actor director,tt0177350 tt9058654 tt0217143 tt0249402
nm0002965,Curran G. Engel,1963,2016,miscellaneous assistant_director producer,tt0116683 tt0364083 tt0106469 tt0113957
nm0002966,Jonathan Figg,1975,\N,writer producer director,tt3489302 tt0212829 tt0275236 tt6467466
nm0002967,Flip Filippelli,1973,\N,art_department art_director miscellaneous,tt30496274 tt0447999 tt1079360 tt0115151
nm0002968,Derubín Jácome,1948,\N,art_director production_designer costume_designer,tt0178266 tt0089288 tt0092761 tt1838571
nm0002969,Dina Lipton,\N,\N,production_designer art_department art_director,tt0113862 tt1333125 tt0206314 tt0124198
nm0002970,Ray Melendez,1976,\N,miscellaneous camera_department actor,tt0212346 tt0248760 tt0295498 tt1709165
nm0002971,Ángel Mena,1975,\N,producer director writer,tt0217907 tt0122419
nm0002972,Henric Nieminen,\N,\N,producer miscellaneous director,tt0408790 tt0219699 tt0349710 tt0141926
nm0002973,Lev L. Spiro,\N,\N,director sound_department actor,tt1369845 tt0367279 tt1442437 tt2372162
nm0002974,Clay Walker,1968,\N,editor editorial_department cinematographer,tt0102034 tt0217220 tt0405839 tt0217818
nm0002975,Evi Quaid,1963,\N,producer director actress,tt0167110 tt0109514 tt0099286 tt1913145
nm0002976,Kevin Mukherji,1962,\N,actor producer director,tt4370596 tt0362227 tt2427150 tt1586680
nm0002977,J. Keith van Straaten,1971,\N,producer writer actor,tt0836827 tt11857726 tt0264235 tt6966758
nm0002978,Florian Gärtner,1968,\N,director writer actor,tt0166581 tt0366767 tt1087833 tt0806910
nm0002979,Lynn Guthrie,1941,\N,assistant_director production_manager producer,tt0068149 tt0102070 tt0092319 tt0074464
nm0002980,Shirley Walker,1945,2006,music_department composer soundtrack,tt0099365 tt0116225 tt0099422 tt0111503
